August 24, 2020														Page 191 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
L&S													
BOTANY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
208 BOTANY Grades		GPA											
Survey of Botany 100 001	137	3.617	43.1 10.9 11.7 2.9 2.9 .	.	27.0	1.5	.	.	.		.	.	..
Plants, Parasites, & People 123 001	77	3.367	23.4 31.2 16.9 .2.6 3.9	.	20.8	.	.	.	.		1.3	.	..
General Botany 130 001	118	3.442	44.1 6.8 29.7 3.4 2.5 0.8	0.8	10.2	0.8	.	.	.		0.8	.	..
Introductory Biology 151 001	1	***					.	.	.		.	.	..
152 001	3	***					.	.	.		.	.	..
152 002	4	***					.	.	.		.	.	..
152 009	1	***					.	.	.		.	.	..
Introductory Biology Course Total	8	3.625	62.5 .  37.5 .  .  .	.	.	.	.	.		.		.  .	.  .
Changed Landscapes: Wisconsin 211 001	15	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
Introductory Ecology 260 001	29	3.250	10.3 13.8 17.2 3.4 3.4 .	.	48.3	3.4	.	.	.		.	.	..
299 025	1	***					.	.	.		.	.	..
299 030	6	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
299 032	2	***					.	.	.		.	.	..
299 034	2	***					.	.	.		.	.	..
299 036	1	***					.	.	.		.	.	..
Directed Study in Botany Course Total	12	4.000	100.0 .  .  .  .  .	.	.	.	.	.		.		.  .	.  .
Fungi 332 001	16	3.719	68.8 12.5 12.5 6.3 ..	.	.	.	.	.	.		.	.	..
Biology of the Fungi 333 001	7	3.833	28.6 14.3 ....	.	57.1	.	.	.	.		.	.	..
Microbiome-Plants/Anmls/Humans 335 001	1	***					.	.	.		.	.	..
Vascular Flora of Wisconsin 401 001	27	3.712	55.6 29.6 7.4 3.7 ..	.	3.7	.	.	.	.		.	.	..
Evolutionary Biology 410 001	28	3.690	50.0 7.1 14.3 3.6 ..	.	17.9	7.1	.	.	.		.	.	..
General Ecology 460 001	33	3.120	12.1 21.2 30.3 3.0 6.1 3.0	.	21.2	3.0	.	.	.		.	.	..
Plant-Insect Interactions 473 001	18	3.647	50.0 22.2 22.2 ...	.	5.6	.	.	.	.		.	.	..
499 003	5	***					.	.	.		.	.	..
499 012	2	***					.	.	.		.	.	..
499 021	1	***					.	.	.		.	.	..
499 035	1	***					.	.	.		.	.	..
Intermediate Directed Research Course Total	9	4.000	100.0 .  .  .  .  .	.	.	.	.	.		.		.  .	.  .
500 002	20	3.031	20.0 10.0 30.0 5.0 10.0 5.0	.	15.0	5.0	.	.	.		.	.	..
500 010	11	3.550	45.5 9.1 36.4 ...	.	.	.	.	.	.		.	.	.9.1
Plant Physiology Course Total	31	3.197	29.0 9.7 32.3 3.2 6.5 3.2	.	9.7	3.2	.	.		.		.  .	.  3.2
Plant-Microbe Interactions 505 001	2	***					.	.	.		.	.	..
575 001	9	3.750	55.6 22.2 11.1 ...	.	.	11.1	.	.	.		.	.	..
575 002	22	3.925	81.8 4.5 4.5 ...	.	4.5	4.5	.	.	.		.	.	..
575 003	2	***					.	.	.		.	.	..
575 004	10	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
575 005	13	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
Special Topics Course Total	56	3.914	85.7 5.4 3.6 .  .  .	.	1.8	3.6	.	.		.		.  .	.  .
Senior Thesis 691 024	1	***					.	.	.		.	.	..
692 005	2	***					.	.	.		.	.	..
692 012	2	***					.	.	.		.	.	..
August 24, 2020													Page 192 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
L&S														
BOTANY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
208 BOTANY Grades		GPA												
692 032	1	***						.	.	.		.	.	..
692 034	2	***						.	.	.		.	.	..
692 035	1	***						.	.	.		.	.	..
Senior Thesis Course Total	8	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.			.  .	.  .
699 012	1	***						.	.	.		.	.	..
699 030	1	***						.	.	.		.	.	..
699 032	2	***						.	.	.		.	.	..
699 035	1	***						.	.	.		.	.	..
Directed Study Course Total	5	***												
Spec Topics-Plant Physiol 858 002	6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Plant Cell Biology 860 001	7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Limnology & Marine Sci Seminar 911 001	1	***						.	.	.		.	.	..
Seminar-Mycology 930 001	1	***						.	.	.		.	.	..
Smr-Plant Systematics&Evolutn 940 001	8	4.000	75.0 .....	.		25.0	.	.	.	.		.	.	..
993 035	6		......	.		100.0	.	.	.	.		.	.	..
993 046	1	***						.	.	.		.	.	..
Research: Fungal Biology Course Total	7		.  .  .  .  .  .		.	100.0	.	.	.	.			.  .	.  .
994 003	2	***						.	.	.		.	.	..
994 005	3	***						.	.	.		.	.	..
994 029	2	***						.	.	.		.	.	..
994 031	2	***						.	.	.		.	.	..
Research-Plant Systematics Course Total	9		.  .  .  .  .  .		.	77.8	.	.	.	22.2			.  .	.  .
995 012	3	***						.	.	.		.	.	..
995 020	1	***						.	.	.		.	.	..
995 024	3	***						.	.	.		.	.	..
995 029	1	***						.	.	.		.	.	..
995 036	1	***						.	.	.		.	.	..
995 045	1	***						.	.	.		.	.	..
Research-Plant Ecology Course Total	10		.  .  .  .  .  .		.	60.0	.	.	.	10.0			.  .	30.0 .
996 021	2	***						.	.	.		.	.	..
996 030	2	***						.	.	.		.	.	..
996 032	1	***						.	.	.		.	.	..
996 034	2	***						.	.	.		.	.	..
996 041	3	***						.	.	.		.	.	..
Research-Plant Physiology Course Total	10		.  .  .  .  .  .		.	70.0	.	.	.	30.0			.  .	.  .
August 24, 2020														Page 193 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades								Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison									
""			(Non-Cross Listed)									
L&S												
BOTANY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
208 BOTANY	Grades	GPA										
208 BOTANY Dept. Total	698	3.543	45.6 11.7 15.2 2.0 2.1 0.9	0.1	18.9	1.4	.	.	1.0	0.4	.	0.4 0.1
Summary by Level	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA208 BOTANY	Grades											
Freshmen	26	3.071	15.4 26.9 19.2 .  11.5 3.8	.	15.4	3.8	.	.	.	3.8	.	.  .
Sophomore	108	3.547	38.9 13.9 17.6 2.8 0.9 0.9	.	24.1	.	.	.	.	0.9	.	.  .
Junior	205	3.566	49.3 9.3 20.0 2.4 1.5 1.0	.	14.6	2.0	.	.	.		.  .	.  .
Senior	261	3.535	48.7 14.2 13.0 2.3 3.1 0.8	0.4	14.9	1.9	.	.	0.4	0.4	.	.  .
Undergraduates	600	3.527	45.7 13.0 16.5 2.3 2.5 1.0	0.2	16.5	1.7	.	.	0.2	0.5	.	.  .
Special	10	3.364	20.0 .  20.0 .  .  .	.	60.0	.	.	.	.		.  .	.  .
Graduate	88	3.795	47.7 4.5 5.7 .  .  .	.	30.7	.	.	.	6.8		.  .	3.4 1.1
Dept. Total	698	3.543	45.6 11.7 15.2 2.0 2.1 0.9	0.1	18.9	1.4	.	.	1.0	0.4	.	0.4 0.1
August 24, 2020												Page 194 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
L&S													
CHEMISTRY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
224 CHEM Grades		GPA											
General Chem II Laboratory 102 001	1	***					.	.	.		.	.	..
103 001	241	3.281	26.1 13.7 25.7 5.8 4.6 1.2	0.4	19.1	2.9	.	.	.		0.4	.	..
103 002	276	3.229	26.1 11.2 26.1 5.4 3.6 2.9	0.7	20.7	3.3	.	.	.		.	.	..
General Chemistry I Course Total	517	3.253	26.1 12.4 25.9 5.6 4.1 2.1	0.6	19.9	3.1	.	.		.	0.2	.	.  .
104 001	370	3.339	27.0 14.1 24.9 4.1 3.0 1.1	0.5	22.7	2.7	.	.	.		.	.	..
104 002	307	3.348	28.7 15.3 25.4 2.0 3.6 2.0	0.3	21.5	1.3	.	.	.		.	.	..
104 003	308	3.357	31.2 12.7 21.4 3.2 3.9 2.6	.	22.7	2.3	.	.	.		.	.	..
104 004	326	3.271	25.2 16.3 23.3 4.3 4.9 1.8	0.6	21.2	2.5	.	.	.		.	.	..
104 005	244	3.287	28.7 12.7 23.8 6.1 2.5 2.5	0.8	20.1	2.9	.	.	.		.	.	..
104 006	311	3.231	27.3 12.9 27.7 6.4 4.5 2.6	0.6	16.4	1.6	.	.	.		.	.	..
General Chemistry II Course Total	1866	3.306	27.9 14.0 24.4 4.3 3.8 2.0	0.5	20.8	2.2	.	.		.		.  .	.  .
General Chemistry II 106 001	1	***					.	.	.		.	.	..
Chemistry in Our World 108 001	151	3.340	24.5 29.1 17.9 6.0 2.6 2.6	.	13.9	3.3	.	.	.		.	.	..
Chemical Principles II 116 001	34	3.741	50.0 26.5 8.8 ...	.	14.7	.	.	.	.		.	.	..
Entering Research I 260 001	10	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
299 011	1	***					.	.	.		.	.	..
299 017	1	***					.	.	.		.	.	..
299 023	1	***					.	.	.		.	.	..
299 025	1	***					.	.	.		.	.	..
299 030	1	***					.	.	.		.	.	..
299 039	2	***					.	.	.		.	.	..
299 048	2	***					.	.	.		.	.	..
299 049	1	***					.	.	.		.	.	..
299 056	1	***					.	.	.		.	.	..
299 059	3	***					.	.	.		.	.	..
Directed Study Course Total	14	4.000	100.0 .  .  .  .  .	.	.	.	.	.		.		.  .	.  .
Chem Across the Periodic Table 311 001	37	3.000	18.9 13.5 21.6 8.1 5.4 8.1	.	21.6	.	.	.	.		2.7	.	..
Fundamentals of Analytical Sci 327 001	82	3.396	34.1 13.4 25.6 2.4 4.9 1.2	.	15.9	2.4	.	.	.		.	.	..
329 001	73	3.474	27.4 20.5 28.8 1.4 ..	.	20.5	1.4	.	.	.		.	.	..
329 002	50	3.489	42.0 8.0 34.0 2.0 2.0 .	.	10.0	2.0	.	.	.		.	.	..
Fundamentals of Analytical Sci Course Total	123	3.480	33.3 15.4 30.9 1.6 0.8 .	.	16.3	1.6	.	.		.		.  .	.  .
343 001	198	3.220	24.7 12.1 23.7 3.0 11.6 0.5	.	22.7	1.5	.	.	.		.	.	..
343 002	268	3.262	25.0 12.7 18.7 7.5 6.7 .	0.7	21.3	7.5	.	.	.		.	.	..
343 003	179	3.203	24.6 9.5 22.9 3.9 8.9 1.1	0.6	20.7	7.8	.	.	.		.	.	..
Intro Organic Chemistry Course Total	645	3.232	24.8 11.6 21.4 5.1 8.8 0.5	0.5	21.6	5.7	.	.		.		.  .	.  .
344 001	17	2.967	17.6 11.8 35.3 17.6 ..	5.9	11.8	.	.	.	.		.	.	..
344 002	15	3.346	26.7 20.0 26.7 13.3 ..	.	13.3	.	.	.	.		.	.	..
344 003	17	2.967	17.6 5.9 35.3 23.5 .5.9	.	11.8	.	.	.	.		.	.	..
344 004	17	3.286	11.8 23.5 47.1 ...	.	5.9	11.8	.	.	.		.	.	..
344 005	15	3.500	40.0 6.7 26.7 6.7 ..	.	20.0	.	.	.	.		.	.	..
344 006	17	3.500	35.3 17.6 23.5 5.9 ..	.	17.6	.	.	.	.		.	.	..
344 007	17	3.500	29.4 17.6 17.6 5.9 ..	.	29.4	.	.	.	.		.	.	..
August 24, 2020													Page 195 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
L&S													
CHEMISTRY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
224 CHEM Grades		GPA											
344 008	15	3.346	20.0 26.7 33.3 6.7 ..	.	13.3	.	.	.	.		.	.	..
344 009	14	3.500	21.4 28.6 21.4 ...	.	28.6	.	.	.	.		.	.	..
344 010	16	3.357	31.3 25.0 25.0 ..6.3	.	12.5	.	.	.	.		.	.	..
344 011	14	3.682	42.9 21.4 14.3 ...	.	21.4	.	.	.	.		.	.	..
344 012	14	3.250	35.7 7.1 35.7 14.3 7.1 .	.	.	.	.	.	.		.	.	..
344 013	15	3.154	13.3 13.3 53.3 .6.7 .	.	13.3	.	.	.	.		.	.	..
344 014	15	3.375	20.0 20.0 40.0 ...	.	20.0	.	.	.	.		.	.	..
344 015	17	3.438	41.2 11.8 35.3 .5.9 .	.	5.9	.	.	.	.		.	.	..
344 016	17	3.500	41.2 11.8 17.6 11.8 ..	.	17.6	.	.	.	.		.	.	..
344 017	14	3.154	21.4 14.3 28.6 28.6 ..	.	7.1	.	.	.	.		.	.	..
344 018	15	3.333	26.7 6.7 40.0 6.7 ..	.	20.0	.	.	.	.		.	.	..
344 019	12	3.563	33.3 8.3 25.0 ...	.	25.0	8.3	.	.	.		.	.	..
344 020	11	3.056	18.2 9.1 45.5 ..9.1	.	18.2	.	.	.	.		.	.	..
344 021	13	3.364	38.5 7.7 23.1 7.7 7.7 .	.	15.4	.	.	.	.		.	.	..
344 022	13	3.375	30.8 23.1 30.8 .7.7 .	.	7.7	.	.	.	.		.	.	..
344 023	13	3.450	30.8 15.4 23.1 7.7 ..	.	23.1	.	.	.	.		.	.	..
344 024	13	3.600	46.2 .30.8 ...	.	23.1	.	.	.	.		.	.	..
344 025	15	3.417	33.3 6.7 33.3 6.7 ..	.	20.0	.	.	.	.		.	.	..
344 026	16	3.000	25.0 6.3 25.0 18.8 6.3 6.3	.	12.5	.	.	.	.		.	.	..
344 027	16	3.385	31.3 18.8 18.8 6.3 6.3 .	.	18.8	.	.	.	.		.	.	..
344 028	18	3.423	22.2 22.2 22.2 5.6 ..	.	27.8	.	.	.	.		.	.	..
344 029	13	3.231	30.8 15.4 30.8 15.4 7.7 .	.	.	.	.	.	.		.	.	..
344 031	15	3.423	26.7 26.7 26.7 6.7 ..	.	13.3	.	.	.	.		.	.	..
344 032	10	3.250	20.0 20.0 50.0 10.0 ..	.	.	.	.	.	.		.	.	..
344 033	14	3.000	14.3 7.1 50.0 7.1 14.3 .	.	7.1	.	.	.	.		.	.	..
Intro Organic Chemistry Lab Course Total	473	3.324	27.9 15.0 30.7 7.4 2.1 0.8	0.2	15.2	0.6	.	.		.		.  .	.  .
345 001	159	3.095	12.6 10.1 30.2 6.3 5.7 1.3	.	26.4	7.5	.	.	.		.	.	..
345 002	202	3.133	20.8 6.9 24.8 5.0 6.9 1.5	1.0	28.7	4.5	.	.	.		.	.	..
345 003	162	3.207	23.5 9.3 19.1 8.0 7.4 1.2	.	24.7	6.8	.	.	.		.	.	..
345 004	32	3.500	28.1 31.3 28.1 ...	.	12.5	.	.	.	.		.	.	..
345 005	206	3.360	32.5 14.6 18.4 5.8 4.9 1.9	.	19.4	2.4	.	.	.		.	.	..
345 006	203	3.287	22.7 22.2 20.7 6.9 7.4 .	.	18.7	1.0	.	.	.		0.5	.	..
Intmed Organic Chemistry Course Total	964	3.241	23.0 13.5 22.6 6.1 6.2 1.1	0.2	23.0	4.0	.	.		.	0.1	.	.  .
Intermed Topics in Chemistry 375 001	7	3.643	57.1 28.6 .14.3 ..	.	.	.	.	.	.		.	.	..
Polymeric Materials 421 001	5	***					.	.	.		.	.	..
Industrial Chem and Business 505 001	12	2.214	8.3 8.3 16.7 ..16.7	8.3	25.0	16.7	.	.	.		.	.	..
Advanced Inorganic Chemistry 511 001	11	3.550	54.5 .27.3 9.1 ..	.	9.1	.	.	.	.		.	.	..
Chemical Instrumentation 524 001	47	3.456	36.2 27.7 19.1 12.8 ..	.	4.3	.	.	.	.		.	.	..
Physical Chemistry 561 001	29	3.196	27.6 13.8 13.8 17.2 3.4 3.4	.	20.7	.	.	.	.		.	.	..
Physical Chemistry 562 001	119	3.377	21.8 21.0 15.1 2.5 1.7 2.5	.	31.1	4.2	.	.	.		.	.	..
563 001	9	3.625	44.4 22.2 22.2 ...	.	11.1	.	.	.	.		.	.	..
563 003	4	***					.	.	.		.	.	..
August 24, 2020													Page 196 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
L&S														
CHEMISTRY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
224 CHEM Grades		GPA												
563 004	11	3.455	45.5 27.3 9.1 9.1 9.1 .	.		.	.	.	.	.		.	.	..
563 006	8	3.643	50.0 12.5 25.0 ...	.		12.5	.	.	.	.		.	.	..
Physical Chemistry Lab Course Total	32	3.600	50.0 21.9 15.6 3.1 3.1 .		.	6.3	.	.	.		.		.  .	.  .
564 001	10	3.611	40.0 30.0 20.0 ...	.		10.0	.	.	.	.		.	.	..
564 003	13	3.542	38.5 30.8 15.4 7.7 ..	.		7.7	.	.	.	.		.	.	..
564 004	13	3.455	23.1 30.8 30.8 ...	.		15.4	.	.	.	.		.	.	..
564 006	13	3.615	38.5 46.2 15.4 ...	.		.	.	.	.	.		.	.	..
Physical Chemistry Lab Course Total	49	3.556	34.7 34.7 20.4 2.0 .  .		.	8.2	.	.	.		.		.  .	.  .
Biophysical Chemistry 565 001	81	3.151	29.6 12.3 16.0 6.2 6.2 7.4	.		19.8	2.5	.	.	.		.	.	..
Advanced Topics in Chemistry 575 001	7	3.417	28.6 28.6 14.3 14.3 ..	.		14.3	.	.	.	.		.	.	..
Spectrochemical Measuremts 605 001	21	3.833	81.0 4.8 14.3 ...	.		.	.	.	.	.		.	.	..
Phys Meth-Struct Determintn 606 001	10	3.500	30.0 40.0 30.0 ...	.		.	.	.	.	.		.	.	..
Laboratory Safety 607 001	76		......	.		.	.	98.7	1.3	.		.	.	..
Experimental Spectroscopy 623 001	11	3.591	27.3 63.6 9.1 ...	.		.	.	.	.	.		.	.	..
Chem Instrumtn:Dsgn&Control 628 001	11	3.600	45.5 18.2 27.3 ...	.		.	.	.	.	.		9.1	.	..
Topics in Computational Chem 635 001	13		......	.		.	.	92.3	.	.		.	.	..
Topics-Chem Instrumentatn: NMR 636 001	17	3.294	29.4 17.6 41.2 5.9 5.9 .	.		.	.	.	.	.		.	.	..
Biological Optical Microscopy 650 001	2	***						.	.	.		.	.	..
Materials Chem of Polymers 654 001	23	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Biophysical Chemistry 665 001	9	3.667	66.7 .33.3 ...	.		.	.	.	.	.		.	.	..
Senior Honors Thesis 681 015	1	***						.	.	.		.	.	..
682 006	1	***						.	.	.		.	.	..
682 024	1	***						.	.	.		.	.	..
682 025	1	***						.	.	.		.	.	..
682 048	1	***						.	.	.		.	.	..
682 081	1	***						.	.	.		.	.	..
682 123	1	***						.	.	.		.	.	..
682 141	1	***						.	.	.		.	.	..
Senior Honors Thesis Course Total	7	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
699 002	3	***						.	.	.		.	.	..
699 003	2	***						.	.	.		.	.	..
699 005	1	***						.	.	.		.	.	..
699 006	2	***						.	.	.		.	.	..
699 007	3	***						.	.	.		.	.	..
699 008	1	***						.	.	.		.	.	..
699 014	1	***						.	.	.		.	.	..
699 015	1	***						.	.	.		.	.	..
699 016	2	***						.	.	.		.	.	..
699 017	2	***						.	.	.		.	.	..
699 021	3	***						.	.	.		.	.	..
699 023	2	***						.	.	.		.	.	..
August 24, 2020														Page 197 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
L&S														
CHEMISTRY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
224 CHEM Grades		GPA												
699 025	1	***						.	.	.		.	.	..
699 029	2	***						.	.	.		.	.	..
699 030	5	***						.	.	.		.	.	..
699 032	2	***						.	.	.		.	.	..
699 033	1	***						.	.	.		.	.	..
699 036	5	***						.	.	.		.	.	..
699 039	1	***						.	.	.		.	.	..
699 045	1	***						.	.	.		.	.	..
699 048	9	4.000	88.9 .....	.		11.1	.	.	.	.		.	.	..
699 049	3	***						.	.	.		.	.	..
699 056	1	***						.	.	.		.	.	..
699 058	1	***						.	.	.		.	.	..
699 059	5	***						.	.	.		.	.	..
699 067	4	***						.	.	.		.	.	..
699 076	3	***						.	.	.		.	.	..
699 081	1	***						.	.	.		.	.	..
699 083	3	***						.	.	.		.	.	..
699 084	2	***						.	.	.		.	.	..
699 087	2	***						.	.	.		.	.	..
699 088	1	***						.	.	.		.	.	..
699 122	2	***						.	.	.		.	.	..
699 141	1	***						.	.	.		.	.	..
699 143	1	***						.	.	.		.	.	..
699 144	1	***						.	.	.		.	.	..
Directed Study Course Total	81	3.997	96.3 1.2 .  .  .  .		.	2.5	.	.	.		.		.  .	.  .
Intro to Mass Spectrometry 738 001	17	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Topics-Inorganic Chem 801 001	12	4.000	83.3 .....	.		16.7	.	.	.	.		.	.	..
Advanced Organic Chemistry 841 001	31	3.581	48.4 19.4 32.3 ...	.		.	.	.	.	.		.	.	..
Macromolecular Chem Biology 845 001	21	4.000	95.2 .....	.		.	.	.	.	.		.	.	4.8 .
Topic-Macromoleculr/Biophys 872 002	30	3.943	96.7 .3.3 ...	.		.	.	.	.	.		.	.	..
Spctroscpy&Spectrochem Anal 923 157	11	4.000	36.4 .....	.		63.6	.	.	.	.		.	.	..
Seminar-Chemical Biology (Adv) 945 001	19	4.000	94.7 .....	.		5.3	.	.	.	.		.	.	..
Seminar-Physical Chemistry 960 002	5	***						.	.	.		.	.	..
964 002	5	***						.	.	.		.	.	..
964 003	3	***						.	.	.		.	.	..
964 004	7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
964 005	8	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
964 006	2	***						.	.	.		.	.	..
964 007	11	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
964 008	1	***						.	.	.		.	.	..
964 009	3	***						.	.	.		.	.	..
964 010	8	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
August 24, 2020														Page 198 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
L&S														
CHEMISTRY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
224 CHEM Grades		GPA												
964 011	6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
